dataset,fold,method,n_train,n_proto,cpu_seconds,blas_threads
banana,0,RSP3,4240,1057,0.16050500000000012,1
banana,0,SPINE,4240,1057,31.432624,1
banana,0,RHC,4240,888,0.2530569999999983,1
banana,0,KMeans,4240,1057,1.8083549999999988,1
banana,0,LVQ3,4240,1057,2.657246999999998,1
banana,0,SPOT,4240,1057,0.7423539999999988,1
banana,0,GLVQ,4240,1057,89.272704,1
banana,0,GNG,4240,1057,46.507559000000015,1
banana,1,RSP3,4240,1044,0.19899599999999396,1
banana,1,SPINE,4240,1044,32.534898,1
banana,1,RHC,4240,878,0.25392299999998613,1
banana,1,KMeans,4240,1044,1.5494579999999871,1
banana,1,LVQ3,4240,1044,2.722297999999995,1
banana,1,SPOT,4240,1044,0.7683919999999773,1
banana,1,GLVQ,4240,1044,87.754988,1
banana,1,GNG,4240,1044,45.133167000000014,1
banana,2,RSP3,4240,1051,0.16985500000004095,1
banana,2,SPINE,4240,1051,31.56083799999999,1
banana,2,RHC,4240,864,0.24927600000000893,1
banana,2,KMeans,4240,1051,1.064612000000011,1
banana,2,LVQ3,4240,1051,2.6562580000000366,1
banana,2,SPOT,4240,1051,0.7583440000000223,1
banana,2,GLVQ,4240,1051,88.089875,1
banana,2,GNG,4240,1051,45.32332600000001,1
banana,3,RSP3,4240,1049,0.1625810000000456,1
banana,3,SPINE,4240,1049,31.704743000000008,1
banana,3,RHC,4240,885,0.2556459999999561,1
banana,3,KMeans,4240,1049,1.8500099999999975,1
banana,3,LVQ3,4240,1049,2.6712629999999535,1
banana,3,SPOT,4240,1049,0.7798549999999977,1
banana,3,GLVQ,4240,1049,88.04177000000004,1
banana,3,GNG,4240,1049,45.321376999999984,1
banana,4,RSP3,4240,1045,0.1745059999999512,1
banana,4,SPINE,4240,1045,31.77308999999991,1
banana,4,RHC,4240,867,0.25022599999999784,1
banana,4,KMeans,4240,1045,2.337808999999993,1
banana,4,LVQ3,4240,1045,2.6483799999999746,1
banana,4,SPOT,4240,1045,0.7347120000000587,1
banana,4,GLVQ,4240,1045,87.52787000000001,1
banana,4,GNG,4240,1045,45.06752099999994,1
eeg-eye-state,0,RSP3,11984,5298,4.295596000000046,1
eeg-eye-state,0,SPINE,11984,5298,2965.656213,1
eeg-eye-state,0,RHC,11984,2131,0.6745689999997921,1
eeg-eye-state,0,KMeans,11984,5298,12.964158000000225,1
eeg-eye-state,0,LVQ3,11984,5298,50.33930599999985,1
eeg-eye-state,0,SPOT,11984,5298,3.6421980000000076,1
eeg-eye-state,0,GLVQ,11984,5298,1247.1526179999996,1
eeg-eye-state,0,GNG,11984,5298,1128.7908160000006,1
eeg-eye-state,1,RSP3,11984,5975,4.2104929999995875,1
eeg-eye-state,1,SPINE,11984,5975,3750.0382649999992,1
eeg-eye-state,1,RHC,11984,2973,0.898548999999548,1
eeg-eye-state,1,KMeans,11984,5975,19.20065599999907,1
eeg-eye-state,1,LVQ3,11984,5975,56.65603899999951,1
eeg-eye-state,1,SPOT,11984,5975,3.943742999999813,1
eeg-eye-state,1,GLVQ,11984,5975,1411.6198339999992,1
eeg-eye-state,1,GNG,11984,5975,1451.372143999999,1
eeg-eye-state,2,RSP3,11984,4949,3.8836300000002666,1
eeg-eye-state,2,SPINE,11984,4949,2538.1592759999985,1
eeg-eye-state,2,RHC,11984,2088,0.6598909999993339,1
eeg-eye-state,2,KMeans,11984,4949,14.18365300000005,1
eeg-eye-state,2,LVQ3,11984,4949,46.994894999999815,1
eeg-eye-state,2,SPOT,11984,4949,3.69145700000081,1
eeg-eye-state,2,GLVQ,11984,4949,1166.757190000002,1
eeg-eye-state,2,GNG,11984,4949,988.4038629999995,1
eeg-eye-state,3,RSP3,11984,5992,3.7577170000004116,1
eeg-eye-state,3,SPINE,11984,5992,3838.9988349999985,1
eeg-eye-state,3,RHC,11984,3091,0.9422290000002249,1
eeg-eye-state,3,KMeans,11984,5992,17.304330999999365,1
eeg-eye-state,3,LVQ3,11984,5992,63.27895599999829,1
eeg-eye-state,3,SPOT,11984,5992,4.371242000001075,1
eeg-eye-state,3,GLVQ,11984,5992,1408.3601540000018,1
eeg-eye-state,3,GNG,11984,5992,1459.212994999998,1
eeg-eye-state,4,RSP3,11984,5482,3.8032990000028803,1
eeg-eye-state,4,SPINE,11984,5482,3199.6734099999994,1
eeg-eye-state,4,RHC,11984,2553,0.7801060000019788,1
eeg-eye-state,4,KMeans,11984,5482,13.583775999999489,1
eeg-eye-state,4,LVQ3,11984,5482,50.86880700000256,1
eeg-eye-state,4,SPOT,11984,5482,3.704416000000492,1
eeg-eye-state,4,GLVQ,11984,5482,1289.908879999999,1
eeg-eye-state,4,GNG,11984,5482,1224.2395340000003,1
ionosphere,0,RSP3,280,100,0.005575999999564374,1
ionosphere,0,SPINE,280,100,0.25782499999695574,1
ionosphere,0,RHC,280,36,0.012318999997660285,1
ionosphere,0,KMeans,280,100,0.036406999999599066,1
ionosphere,0,LVQ3,280,100,0.09058300000106101,1
ionosphere,0,SPOT,280,100,0.00828199999887147,1
ionosphere,0,GLVQ,280,100,0.6359349999984261,1
ionosphere,0,GNG,280,100,0.6763430000028166,1
ionosphere,1,RSP3,281,86,0.0035930000012740493,1
ionosphere,1,SPINE,281,86,0.23467800000071293,1
ionosphere,1,RHC,281,25,0.007981000002473593,1
ionosphere,1,KMeans,281,86,0.030641000001196517,1
ionosphere,1,LVQ3,281,86,0.07537100000263308,1
ionosphere,1,SPOT,281,86,0.00720999999975902,1
ionosphere,1,GLVQ,281,86,0.5614409999980126,1
ionosphere,1,GNG,281,86,0.5309830000005604,1
ionosphere,2,RSP3,281,106,0.0039410000026691705,1
ionosphere,2,SPINE,281,106,0.2638809999989462,1
ionosphere,2,RHC,281,29,0.008916999999200925,1
ionosphere,2,KMeans,281,106,0.037774000000354135,1
ionosphere,2,LVQ3,281,106,0.09178099999917322,1
ionosphere,2,SPOT,281,106,0.007767999999487074,1
ionosphere,2,GLVQ,281,106,0.6740570000001753,1
ionosphere,2,GNG,281,106,0.7530850000002829,1
ionosphere,3,RSP3,281,86,0.003581000000849599,1
ionosphere,3,SPINE,281,86,0.2320129999970959,1
ionosphere,3,RHC,281,26,0.008484999998472631,1
ionosphere,3,KMeans,281,86,0.030761999998503597,1
ionosphere,3,LVQ3,281,86,0.07143499999801861,1
ionosphere,3,SPOT,281,86,0.00705299999754061,1
ionosphere,3,GLVQ,281,86,0.5604380000004312,1
ionosphere,3,GNG,281,86,0.5370250000014494,1
ionosphere,4,RSP3,281,90,0.003736000002390938,1
ionosphere,4,SPINE,281,90,0.23674899999969057,1
ionosphere,4,RHC,281,35,0.011016999997082166,1
ionosphere,4,KMeans,281,90,0.03253699999913806,1
ionosphere,4,LVQ3,281,90,0.07488499999817577,1
ionosphere,4,SPOT,281,90,0.007288000000698958,1
ionosphere,4,GLVQ,281,90,0.583055000002787,1
ionosphere,4,GNG,281,90,0.5905490000004647,1
letter,0,RSP3,16000,6180,2.893967000003613,1
letter,0,SPINE,16000,6180,200.55665099999896,1
letter,0,RHC,16000,2093,0.35193400000207475,1
letter,0,KMeans,16000,6180,3.1317789999993693,1
letter,0,LVQ3,16000,6180,86.77550999999949,1
letter,0,SPOT,16000,6180,7.15647700000045,1
letter,0,GLVQ,16000,6180,1936.156676999999,1
letter,0,GNG,16000,6180,122.62150800000018,1
letter,1,RSP3,16000,6170,3.0299919999997655,1
letter,1,SPINE,16000,6170,190.12539999999717,1
letter,1,RHC,16000,2046,0.3296390000032261,1
letter,1,KMeans,16000,6170,3.0114490000050864,1
letter,1,LVQ3,16000,6170,85.65553600000567,1
letter,1,SPOT,16000,6170,6.4715240000005,1
letter,1,GLVQ,16000,6170,1944.0986800000028,1
letter,1,GNG,16000,6170,123.91924799999833,1
letter,2,RSP3,16000,6246,3.3431740000014543,1
letter,2,SPINE,16000,6246,199.64658100000088,1
letter,2,RHC,16000,2051,0.3258360000036191,1
letter,2,KMeans,16000,6246,3.069063000002643,1
letter,2,LVQ3,16000,6246,87.6488379999937,1
letter,2,SPOT,16000,6246,6.115246000001207,1
letter,2,GLVQ,16000,6246,1947.1538480000017,1
letter,2,GNG,16000,6246,126.14187500000116,1
letter,3,RSP3,16000,6224,3.155942999997933,1
letter,3,SPINE,16000,6224,197.80176900000515,1
letter,3,RHC,16000,2076,0.35826999999699183,1
letter,3,KMeans,16000,6224,3.076404999999795,1
letter,3,LVQ3,16000,6224,87.88171799999691,1
letter,3,SPOT,16000,6224,6.607540000004519,1
letter,3,GLVQ,16000,6224,1944.5089519999965,1
letter,3,GNG,16000,6224,126.8493909999961,1
letter,4,RSP3,16000,6197,3.383560000002035,1
letter,4,SPINE,16000,6197,198.9079150000034,1
letter,4,RHC,16000,2093,0.3440260000061244,1
letter,4,KMeans,16000,6197,3.202300999997533,1
letter,4,LVQ3,16000,6197,88.7972179999997,1
letter,4,SPOT,16000,6197,6.311052000004565,1
letter,4,GLVQ,16000,6197,1944.4486230000039,1
letter,4,GNG,16000,6197,122.91666399999667,1
magic,0,RSP3,15216,6503,3.491160999998101,1
magic,0,SPINE,15216,6503,6414.710550000003,1
magic,0,RHC,15216,3087,0.9329660000003059,1
magic,0,KMeans,15216,6503,25.193155999993905,1
magic,0,LVQ3,15216,6503,62.15453200000047,1
magic,0,SPOT,15216,6503,5.297859000005701,1
magic,0,GLVQ,15216,6503,1939.4647620000032,1
magic,0,GNG,15216,6503,1885.777396999998,1
magic,1,RSP3,15216,6427,5.100844000000507,1
magic,1,SPINE,15216,6427,6015.424577999998,1
magic,1,RHC,15216,3014,0.9026489999960177,1
magic,1,KMeans,15216,6427,21.791756999999052,1
magic,1,LVQ3,15216,6427,61.40655700000207,1
magic,1,SPOT,15216,6427,5.759101999996346,1
magic,1,GLVQ,15216,6427,1903.7882109999991,1
magic,1,GNG,15216,6427,1845.1891099999993,1
magic,2,RSP3,15216,6431,2.8606479999943986,1
magic,2,SPINE,15216,6431,5985.371354000003,1
magic,2,RHC,15216,3098,0.9243710000009742,1
magic,2,KMeans,15216,6431,25.039592000000994,1
magic,2,LVQ3,15216,6431,61.7748530000099,1
magic,2,SPOT,15216,6431,5.281698000006145,1
magic,2,GLVQ,15216,6431,1906.8396710000088,1
magic,2,GNG,15216,6431,1846.036208000005,1
magic,3,RSP3,15216,6412,6.245827000006102,1
magic,3,SPINE,15216,6412,5972.764039999995,1
magic,3,RHC,15216,3048,0.9152380000014091,1
magic,3,KMeans,15216,6412,21.940661000000546,1
magic,3,LVQ3,15216,6412,61.30861399999412,1
magic,3,SPOT,15216,6412,5.4787429999996675,1
magic,3,GLVQ,15216,6412,1900.9311889999954,1
magic,3,GNG,15216,6412,1841.6580230000109,1
magic,4,RSP3,15216,6384,6.84104899999511,1
magic,4,SPINE,15216,6384,6409.151994,1
magic,4,RHC,15216,3121,0.9321119999949588,1
magic,4,KMeans,15216,6384,24.71296400000574,1
magic,4,LVQ3,15216,6384,65.99974500000826,1
magic,4,SPOT,15216,6384,5.522186000001966,1
magic,4,GLVQ,15216,6384,1889.2073749999981,1
magic,4,GNG,15216,6384,1825.1848489999975,1
penbased,0,RSP3,8793,947,1.1197859999956563,1
penbased,0,SPINE,8793,947,15.654467999993358,1
penbased,0,RHC,8793,288,0.07420899999851827,1
penbased,0,KMeans,8793,947,0.7852600000042003,1
penbased,0,LVQ3,8793,947,8.233889000010095,1
penbased,0,SPOT,8793,947,1.798865000004298,1
penbased,0,GLVQ,8793,947,165.3874199999991,1
penbased,0,GNG,8793,947,10.488656999994419,1
penbased,1,RSP3,8793,959,1.0203939999919385,1
penbased,1,SPINE,8793,959,15.561160000012023,1
penbased,1,RHC,8793,282,0.07264399999985471,1
penbased,1,KMeans,8793,959,0.6302279999945313,1
penbased,1,LVQ3,8793,959,7.987605999995139,1
penbased,1,SPOT,8793,959,1.7303160000010394,1
penbased,1,GLVQ,8793,959,167.74391099999775,1
penbased,1,GNG,8793,959,10.64361500000814,1
penbased,2,RSP3,8794,927,1.052477999997791,1
penbased,2,SPINE,8794,927,15.172414000000572,1
penbased,2,RHC,8794,310,0.07968399999663234,1
penbased,2,KMeans,8794,927,0.6330420000012964,1
penbased,2,LVQ3,8794,927,7.822434999994584,1
penbased,2,SPOT,8794,927,1.7142220000096131,1
penbased,2,GLVQ,8794,927,160.9008759999997,1
penbased,2,GNG,8794,927,9.797776000006706,1
penbased,3,RSP3,8794,964,1.1065749999979744,1
penbased,3,SPINE,8794,964,15.90998799999943,1
penbased,3,RHC,8794,308,0.0821260000084294,1
penbased,3,KMeans,8794,964,0.6497169999929611,1
penbased,3,LVQ3,8794,964,8.074429000000237,1
penbased,3,SPOT,8794,964,1.8097839999973075,1
penbased,3,GLVQ,8794,964,167.25334999999905,1
penbased,3,GNG,8794,964,10.576413000002503,1
penbased,4,RSP3,8794,956,0.9509600000019418,1
penbased,4,SPINE,8794,956,15.926594000004116,1
penbased,4,RHC,8794,334,0.08929700001317542,1
penbased,4,KMeans,8794,956,0.6542730000073789,1
penbased,4,LVQ3,8794,956,8.08203200000571,1
penbased,4,SPOT,8794,956,1.7825250000023516,1
penbased,4,GLVQ,8794,956,166.6537970000063,1
penbased,4,GNG,8794,956,10.577702999988105,1
