dataset,method,n_train,n_proto,cpu_seconds,blas_threads
banana,GLVQ,4240.0,1049.2,88.13744140000001,1
banana,GNG,4240.0,1049.2,45.470589999999994,1
banana,KMeans,4240.0,1049.2,1.7220487999999974,1
banana,LVQ3,4240.0,1049.2,2.6710891999999915,1
banana,RHC,4240.0,876.4,0.2524255999999895,1
banana,RSP3,4240.0,1049.2,0.17328860000000637,1
banana,SPINE,4240.0,1049.2,31.801238599999984,1
banana,SPOT,4240.0,1049.2,0.7567314000000109,1
eeg-eye-state,GLVQ,11984.0,5539.2,1304.7597352000005,1
eeg-eye-state,GNG,11984.0,5539.2,1250.4038703999995,1
eeg-eye-state,KMeans,11984.0,5539.2,15.44731479999964,1
eeg-eye-state,LVQ3,11984.0,5539.2,53.62760060000001,1
eeg-eye-state,RHC,11984.0,2567.2,0.7910688000001755,1
eeg-eye-state,RSP3,11984.0,5539.2,3.9901470000006385,1
eeg-eye-state,SPINE,11984.0,5539.2,3258.505199799999,1
eeg-eye-state,SPOT,11984.0,5539.2,3.8706112000004396,1
ionosphere,GLVQ,280.8,93.6,0.6029851999999665,1
ionosphere,GNG,280.8,93.6,0.6175970000011148,1
ionosphere,KMeans,280.8,93.6,0.03362419999975828,1
ionosphere,LVQ3,280.8,93.6,0.08081099999981234,1
ionosphere,RHC,280.8,30.2,0.00974379999897792,1
ionosphere,RSP3,280.8,93.6,0.0040854000013496265,1
ionosphere,SPINE,280.8,93.6,0.24502919999868028,1
ionosphere,SPOT,280.8,93.6,0.007520199999271426,1
letter,GLVQ,16000.0,6203.4,1943.2733560000008,1
letter,GNG,16000.0,6203.4,124.48973719999849,1
letter,KMeans,16000.0,6203.4,3.0981994000008855,1
letter,LVQ3,16000.0,6203.4,87.3517639999991,1
letter,RHC,16000.0,2071.8,0.34194100000240724,1
letter,RSP3,16000.0,6203.4,3.1613272000009602,1
letter,SPINE,16000.0,6203.4,197.4076632000011,1
letter,SPOT,16000.0,6203.4,6.532367800002248,1
magic,GLVQ,15216.0,6431.4,1908.046241600001,1
magic,GNG,15216.0,6431.4,1848.7691174000022,1
magic,KMeans,15216.0,6431.4,23.735626000000046,1
magic,LVQ3,15216.0,6431.4,62.52886020000297,1
magic,RHC,15216.0,3073.6,0.9214671999987332,1
magic,RSP3,15216.0,6431.4,4.907905799998844,1
magic,SPINE,15216.0,6431.4,6159.484503199999,1
magic,SPOT,15216.0,6431.4,5.467917600001965,1
penbased,GLVQ,8793.6,950.6,165.5878708000004,1
penbased,GNG,8793.6,950.6,10.416832799999975,1
penbased,KMeans,8793.6,950.6,0.6705040000000736,1
penbased,LVQ3,8793.6,950.6,8.040078200001153,1
penbased,RHC,8793.6,304.4,0.07959200000332203,1
penbased,RSP3,8793.6,950.6,1.0500385999970603,1
penbased,SPINE,8793.6,950.6,15.644924800001899,1
penbased,SPOT,8793.6,950.6,1.7671424000029219,1
phoneme,GLVQ,4323.2,1315.0,111.49571820000128,1
phoneme,GNG,4323.2,1315.0,78.98378059999376,1
phoneme,KMeans,4323.2,1315.0,2.1076610000018263,1
phoneme,LVQ3,4323.2,1315.0,3.541507599997567,1
phoneme,RHC,4323.2,842.2,0.2450994000013452,1
phoneme,RSP3,4323.2,1315.0,0.23292840000649448,1
phoneme,SPINE,4323.2,1315.0,77.92160760000115,1
phoneme,SPOT,4323.2,1315.0,0.6263501999987057,1
ring,GLVQ,5920.0,2597.0,301.6570789999998,1
ring,GNG,5920.0,2597.0,312.80552579999784,1
ring,KMeans,5920.0,2597.0,3.5879501999996135,1
ring,LVQ3,5920.0,2597.0,16.102940200001466,1
ring,RHC,5920.0,572.6,0.20149559999990743,1
ring,RSP3,5920.0,2597.0,0.40213480000093116,1
ring,SPINE,5920.0,2597.0,320.32108780000124,1
ring,SPOT,5920.0,2597.0,0.9397190000017872,1
satimage,GLVQ,5148.0,1412.0,144.13316559999657,1
satimage,GNG,5148.0,1412.0,37.93702059999632,1
satimage,KMeans,5148.0,1412.0,1.3420659999974305,1
satimage,LVQ3,5148.0,1412.0,11.587821999998415,1
satimage,RHC,5148.0,528.6,0.13693820000335108,1
satimage,RSP3,5148.0,1412.0,0.3015765999996802,1
satimage,SPINE,5148.0,1412.0,27.230077799997524,1
satimage,SPOT,5148.0,1412.0,0.7126001999975415,1
segment,GLVQ,1848.0,374.0,14.03826559999725,1
segment,GNG,1848.0,374.0,2.2981635999982246,1
segment,KMeans,1848.0,374.0,0.13659360000456217,1
segment,LVQ3,1848.0,374.0,0.9198430000018561,1
segment,RHC,1848.0,166.2,0.03727099999669008,1
segment,RSP3,1848.0,374.0,0.09001099999586586,1
segment,SPINE,1848.0,374.0,1.8373141999967628,1
segment,SPOT,1848.0,374.0,0.15865699999849311,1
