acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,class_counts,cpu_select,cpu_total,cpu_tuning,dataset,fold,lvq3_params,method,n_outer_folds,n_proto,n_test,n_train,reduction,seed,shared_build,spine_params,swept
0.9094269870609981,24,False,0.004935225169648365,0.005,,3.500000457279384e-05,3.500000457279384e-05,0.0,phoneme,0,,Full,10,4863,541,4863,0.0,928794668,False,,False
0.8558225508317929,24,False,0.004935225169648365,0.005,,0.3434469999920111,0.3434469999920111,0.0,phoneme,0,,RSP3,10,1419,541,4863,0.7082048118445404,928794668,False,,False
0.8502772643253235,24,False,0.004935225169648365,0.005,,3.0961999999999534,3.0961999999999534,0.0,phoneme,0,,RHC,10,947,541,4863,0.8052642401809582,928794668,False,,False
0.7153419593345656,24,False,0.004935225169648365,0.005,,4.217936000000918,4.217936000000918,0.0,phoneme,0,,SPINE+1NN,10,24,541,4863,0.9950647748303516,928794668,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[2, 1], [3, 0]], ""betti_frozen"": [[2, 1], [3, 0]], ""betti_nerve"": [[1, 2], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 7, ""invariant_held"": true, ""n_segments"": 20, ""n_train_fit"": 3647, ""n_val"": 1216, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 18, ""min_samples"": 5, ""n_class"": 2577, ""n_edges"": 12, ""n_intervals"": 8, ""n_vertices"": 11, ""noise_reassigned"": 317, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 71}, {""k"": 1, ""n"": 487}, {""k"": 1, ""n"": 845}, {""k"": 3, ""n"": 370}, {""k"": 1, ""n"": 415}, {""k"": 1, ""n"": 435}, {""k"": 1, ""n"": 449}, {""k"": 2, ""n"": 129}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 18, ""min_samples"": 5, ""n_class"": 1070, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 151, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 172}, {""k"": 1, ""n"": 191}, {""k"": 1, ""n"": 191}, {""k"": 1, ""n"": 190}, {""k"": 1, ""n"": 191}, {""k"": 1, ""n"": 191}, {""k"": 1, ""n"": 172}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 5, ""beta0_nerve"": 2, ""beta1_frozen"": 1, ""beta1_nerve"": 2}}",True
0.7171903881700554,24,False,0.004935225169648365,0.005,,4.217936000000918,4.217936000000918,0.0,phoneme,0,,SPINE+Graph,10,24,541,4863,0.9950647748303516,928794668,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[2, 1], [3, 0]], ""betti_frozen"": [[2, 1], [3, 0]], ""betti_nerve"": [[1, 2], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 7, ""invariant_held"": true, ""n_segments"": 20, ""n_train_fit"": 3647, ""n_val"": 1216, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 18, ""min_samples"": 5, ""n_class"": 2577, ""n_edges"": 12, ""n_intervals"": 8, ""n_vertices"": 11, ""noise_reassigned"": 317, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 71}, {""k"": 1, ""n"": 487}, {""k"": 1, ""n"": 845}, {""k"": 3, ""n"": 370}, {""k"": 1, ""n"": 415}, {""k"": 1, ""n"": 435}, {""k"": 1, ""n"": 449}, {""k"": 2, ""n"": 129}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 18, ""min_samples"": 5, ""n_class"": 1070, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 151, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 172}, {""k"": 1, ""n"": 191}, {""k"": 1, ""n"": 191}, {""k"": 1, ""n"": 190}, {""k"": 1, ""n"": 191}, {""k"": 1, ""n"": 191}, {""k"": 1, ""n"": 172}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 5, ""beta0_nerve"": 2, ""beta1_frozen"": 1, ""beta1_nerve"": 2}}",True
0.8317929759704251,24,False,0.004935225169648365,0.005,,0.82311500000651,14.094496000005165,13.271380999998655,phoneme,0,"{""epsilon"": 0.1, ""window"": 0.2}",LVQ3,10,24,541,4863,0.9950647748303516,928794668,False,,True
0.7818853974121996,24,False,0.004935225169648365,0.005,"{""0"": 17, ""1"": 7}",0.7298090000113007,0.7298090000113007,0.0,phoneme,0,,KMeans,10,24,541,4863,0.9950647748303516,928794668,False,,True
0.7504621072088724,24,False,0.004935225169648365,0.005,"{""0"": 17, ""1"": 7}",0.0008700000180397183,0.0008700000180397183,0.0,phoneme,0,,Random,10,24,541,4863,0.9950647748303516,928794668,False,,True
0.7781885397412199,24,False,0.004935225169648365,0.005,,1.4568579999904614,1.4568579999904614,0.0,phoneme,0,,SPOT,10,24,541,4863,0.9950647748303516,928794668,False,,True
0.8151571164510166,24,False,0.004935225169648365,0.005,,4.01948600000469,4.01948600000469,0.0,phoneme,0,,GLVQ,10,24,541,4863,0.9950647748303516,928794668,False,,True
