acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,class_counts,cpu_select,cpu_total,cpu_tuning,dataset,fold,lvq3_params,method,n_outer_folds,n_proto,n_test,n_train,reduction,seed,shared_build,spine_params,swept
0.9130434782608695,21,False,0.005076142131979695,0.005,,0.00022499996703118086,0.00022499996703118086,0.0,spambase,0,,Full,10,4137,460,4137,0.0,220973888,False,,False
0.8978260869565218,21,False,0.005076142131979695,0.005,,2.0909370000008494,2.0909370000008494,0.0,spambase,0,,RSP3,10,1248,460,4137,0.6983321247280638,220973888,False,,False
0.8826086956521739,21,False,0.005076142131979695,0.005,,2.3719660000060685,2.3719660000060685,0.0,spambase,0,,RHC,10,453,460,4137,0.8905003625815808,220973888,False,,False
0.6521739130434783,21,False,0.005076142131979695,0.005,,3.9015890000155196,3.9015890000155196,0.0,spambase,0,,SPINE+1NN,10,21,460,4137,0.9949238578680203,220973888,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 1, ""removed_support"": 0}, ""betti_final"": [[2, 0], [1, 0]], ""betti_frozen"": [[2, 0], [1, 0]], ""betti_nerve"": [[2, 1], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 4, ""invariant_held"": true, ""n_segments"": 18, ""n_train_fit"": 3103, ""n_val"": 1034, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 1880, ""n_edges"": 9, ""n_intervals"": 7, ""n_vertices"": 10, ""noise_reassigned"": 1437, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 301}, {""k"": 2, ""n"": 335}, {""k"": 2, ""n"": 335}, {""k"": 2, ""n"": 335}, {""k"": 1, ""n"": 335}, {""k"": 1, ""n"": 335}, {""k"": 1, ""n"": 305}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 1223, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1168, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 197}, {""k"": 1, ""n"": 218}, {""k"": 1, ""n"": 219}, {""k"": 1, ""n"": 219}, {""k"": 1, ""n"": 218}, {""k"": 1, ""n"": 218}, {""k"": 1, ""n"": 197}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 3, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 1}}",True
0.6608695652173913,21,False,0.005076142131979695,0.005,,3.9015890000155196,3.9015890000155196,0.0,spambase,0,,SPINE+Graph,10,21,460,4137,0.9949238578680203,220973888,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 1, ""removed_support"": 0}, ""betti_final"": [[2, 0], [1, 0]], ""betti_frozen"": [[2, 0], [1, 0]], ""betti_nerve"": [[2, 1], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 4, ""invariant_held"": true, ""n_segments"": 18, ""n_train_fit"": 3103, ""n_val"": 1034, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 1880, ""n_edges"": 9, ""n_intervals"": 7, ""n_vertices"": 10, ""noise_reassigned"": 1437, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 301}, {""k"": 2, ""n"": 335}, {""k"": 2, ""n"": 335}, {""k"": 2, ""n"": 335}, {""k"": 1, ""n"": 335}, {""k"": 1, ""n"": 335}, {""k"": 1, ""n"": 305}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 1223, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1168, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 197}, {""k"": 1, ""n"": 218}, {""k"": 1, ""n"": 219}, {""k"": 1, ""n"": 219}, {""k"": 1, ""n"": 218}, {""k"": 1, ""n"": 218}, {""k"": 1, ""n"": 197}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 3, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 1}}",True
0.9260869565217391,21,False,0.005076142131979695,0.005,,2.1923830000450835,42.430282000044826,40.23789899999974,spambase,0,"{""epsilon"": 0.1, ""window"": 0.3}",LVQ3,10,21,460,4137,0.9949238578680203,220973888,False,,True
0.8934782608695652,21,False,0.005076142131979695,0.005,"{""0"": 13, ""1"": 8}",0.9792039999738336,0.9792039999738336,0.0,spambase,0,,KMeans,10,21,460,4137,0.9949238578680203,220973888,False,,True
0.8021739130434783,21,False,0.005076142131979695,0.005,"{""0"": 13, ""1"": 8}",0.0008520000264979899,0.0008520000264979899,0.0,spambase,0,,Random,10,21,460,4137,0.9949238578680203,220973888,False,,True
0.8043478260869565,21,False,0.005076142131979695,0.005,,1.3725609999964945,1.3725609999964945,0.0,spambase,0,,SPOT,10,21,460,4137,0.9949238578680203,220973888,False,,True
0.8673913043478261,21,False,0.005076142131979695,0.005,,4.553417999995872,4.553417999995872,0.0,spambase,0,,GLVQ,10,21,460,4137,0.9949238578680203,220973888,False,,True
