acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,class_counts,cpu_select,cpu_total,cpu_tuning,dataset,fold,lvq3_params,method,n_outer_folds,n_proto,n_test,n_train,reduction,seed,shared_build,spine_params,swept
0.9445945945945946,33,False,0.004954954954954955,0.005,,7.000000914558768e-05,7.000000914558768e-05,0.0,twonorm,0,,Full,10,6660,740,6660,0.0,315404094,False,,False
0.927027027027027,33,False,0.004954954954954955,0.005,,1.847994000010658,1.847994000010658,0.0,twonorm,0,,RSP3,10,1068,740,6660,0.8396396396396396,315404094,False,,False
0.8972972972972973,33,False,0.004954954954954955,0.005,,1.3060410000034608,1.3060410000034608,0.0,twonorm,0,,RHC,10,214,740,6660,0.9678678678678678,315404094,False,,False
0.977027027027027,33,False,0.004954954954954955,0.005,,5.59614799998235,5.59614799998235,0.0,twonorm,0,,SPINE+1NN,10,33,740,6660,0.9950450450450451,315404094,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 3, ""removed_support"": 0}, ""betti_final"": [[3, 0], [2, 0]], ""betti_frozen"": [[3, 0], [2, 0]], ""betti_nerve"": [[1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 10, ""invariant_held"": true, ""n_segments"": 28, ""n_train_fit"": 4995, ""n_val"": 1665, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 24, ""min_samples"": 5, ""n_class"": 2499, ""n_edges"": 7, ""n_intervals"": 8, ""n_vertices"": 8, ""noise_reassigned"": 2849, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 391}, {""k"": 1, ""n"": 391}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 352}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 24, ""min_samples"": 5, ""n_class"": 2496, ""n_edges"": 7, ""n_intervals"": 8, ""n_vertices"": 8, ""noise_reassigned"": 2849, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 351}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 351}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 5, ""beta0_nerve"": 2, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.9743243243243244,33,False,0.004954954954954955,0.005,,5.59614799998235,5.59614799998235,0.0,twonorm,0,,SPINE+Graph,10,33,740,6660,0.9950450450450451,315404094,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 3, ""removed_support"": 0}, ""betti_final"": [[3, 0], [2, 0]], ""betti_frozen"": [[3, 0], [2, 0]], ""betti_nerve"": [[1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 10, ""invariant_held"": true, ""n_segments"": 28, ""n_train_fit"": 4995, ""n_val"": 1665, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 24, ""min_samples"": 5, ""n_class"": 2499, ""n_edges"": 7, ""n_intervals"": 8, ""n_vertices"": 8, ""noise_reassigned"": 2849, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 391}, {""k"": 1, ""n"": 391}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 352}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 24, ""min_samples"": 5, ""n_class"": 2496, ""n_edges"": 7, ""n_intervals"": 8, ""n_vertices"": 8, ""noise_reassigned"": 2849, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 351}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 390}, {""k"": 1, ""n"": 351}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 5, ""beta0_nerve"": 2, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.9716216216216216,33,False,0.004954954954954955,0.005,,2.6035269999993034,49.876296999980696,47.27276999998139,twonorm,0,"{""epsilon"": 0.3, ""window"": 0.3}",LVQ3,10,33,740,6660,0.9950450450450451,315404094,False,,True
0.9648648648648649,33,False,0.004954954954954955,0.005,"{""0"": 17, ""1"": 16}",2.4367249999777414,2.4367249999777414,0.0,twonorm,0,,KMeans,10,33,740,6660,0.9950450450450451,315404094,False,,True
0.9081081081081082,33,False,0.004954954954954955,0.005,"{""0"": 17, ""1"": 16}",0.0008140000281855464,0.0008140000281855464,0.0,twonorm,0,,Random,10,33,740,6660,0.9950450450450451,315404094,False,,True
0.9135135135135135,33,False,0.004954954954954955,0.005,,1.7901530000381172,1.7901530000381172,0.0,twonorm,0,,SPOT,10,33,740,6660,0.9950450450450451,315404094,False,,True
0.9756756756756757,33,False,0.004954954954954955,0.005,,8.113333999994211,8.113333999994211,0.0,twonorm,0,,GLVQ,10,33,740,6660,0.9950450450450451,315404094,False,,True
