acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,class_counts,cpu_select,cpu_total,cpu_tuning,dataset,fold,lvq3_params,method,n_outer_folds,n_proto,n_test,n_train,reduction,seed,shared_build,spine_params,swept
0.704,23,False,0.005111111111111111,0.005,,0.00021199998445808887,0.00021199998445808887,0.0,waveform,0,,Full,10,4500,500,4500,0.0,467606853,False,,False
0.77,23,False,0.005111111111111111,0.005,,1.599910999997519,1.599910999997519,0.0,waveform,0,,RSP3,10,2611,500,4500,0.4197777777777778,467606853,False,,False
0.714,23,False,0.005111111111111111,0.005,,1.6041660000337288,1.6041660000337288,0.0,waveform,0,,RHC,10,359,500,4500,0.9202222222222223,467606853,False,,False
0.794,23,False,0.005111111111111111,0.005,,3.6170779999811202,3.6170779999811202,0.0,waveform,0,,SPINE+1NN,10,23,500,4500,0.9948888888888889,467606853,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[2, 0], [3, 0], [2, 0]], ""betti_frozen"": [[2, 0], [3, 0], [2, 0]], ""betti_nerve"": [[1, 0], [1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 0, ""invariant_held"": true, ""n_segments"": 16, ""n_train_fit"": 3375, ""n_val"": 1125, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1142, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1324, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 128}, {""k"": 1, ""n"": 268}, {""k"": 1, ""n"": 258}, {""k"": 1, ""n"": 261}, {""k"": 1, ""n"": 241}, {""k"": 1, ""n"": 205}, {""k"": 1, ""n"": 77}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1116, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1243, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 180}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 200}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 180}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1117, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1282, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 111}, {""k"": 1, ""n"": 259}, {""k"": 1, ""n"": 252}, {""k"": 1, ""n"": 253}, {""k"": 1, ""n"": 278}, {""k"": 1, ""n"": 208}, {""k"": 1, ""n"": 37}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 7, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.804,23,False,0.005111111111111111,0.005,,3.6170779999811202,3.6170779999811202,0.0,waveform,0,,SPINE+Graph,10,23,500,4500,0.9948888888888889,467606853,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[2, 0], [3, 0], [2, 0]], ""betti_frozen"": [[2, 0], [3, 0], [2, 0]], ""betti_nerve"": [[1, 0], [1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 0, ""invariant_held"": true, ""n_segments"": 16, ""n_train_fit"": 3375, ""n_val"": 1125, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1142, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1324, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 128}, {""k"": 1, ""n"": 268}, {""k"": 1, ""n"": 258}, {""k"": 1, ""n"": 261}, {""k"": 1, ""n"": 241}, {""k"": 1, ""n"": 205}, {""k"": 1, ""n"": 77}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1116, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1243, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 180}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 200}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 180}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1117, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1282, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 111}, {""k"": 1, ""n"": 259}, {""k"": 1, ""n"": 252}, {""k"": 1, ""n"": 253}, {""k"": 1, ""n"": 278}, {""k"": 1, ""n"": 208}, {""k"": 1, ""n"": 37}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 7, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.81,23,False,0.005111111111111111,0.005,,2.254313999961596,42.877304999972694,40.6229910000111,waveform,0,"{""epsilon"": 0.3, ""window"": 0.3}",LVQ3,10,23,500,4500,0.9948888888888889,467606853,False,,True
0.766,23,False,0.005111111111111111,0.005,"{""0"": 8, ""1"": 7, ""2"": 8}",1.0663729999796487,1.0663729999796487,0.0,waveform,0,,KMeans,10,23,500,4500,0.9948888888888889,467606853,False,,True
0.578,23,False,0.005111111111111111,0.005,"{""0"": 8, ""1"": 7, ""2"": 8}",0.0009580000187270343,0.0009580000187270343,0.0,waveform,0,,Random,10,23,500,4500,0.9948888888888889,467606853,False,,True
0.712,23,False,0.005111111111111111,0.005,,1.555958999961149,1.555958999961149,0.0,waveform,0,,SPOT,10,23,500,4500,0.9948888888888889,467606853,False,,True
0.828,23,False,0.005111111111111111,0.005,,5.016782000020612,5.016782000020612,0.0,waveform,0,,GLVQ,10,23,500,4500,0.9948888888888889,467606853,False,,True
0.778,23,False,0.005111111111111111,0.005,,0.7546159999910742,0.7546159999910742,0.0,waveform,0,,GNG,10,23,500,4500,0.9948888888888889,467606853,False,,True
0.704,45,False,0.01,0.01,,0.00021199998445808887,0.00021199998445808887,0.0,waveform,0,,Full,10,4500,500,4500,0.0,467606853,True,,False
0.77,45,False,0.01,0.01,,1.599910999997519,1.599910999997519,0.0,waveform,0,,RSP3,10,2611,500,4500,0.4197777777777778,467606853,True,,False
0.714,45,False,0.01,0.01,,1.6041660000337288,1.6041660000337288,0.0,waveform,0,,RHC,10,359,500,4500,0.9202222222222223,467606853,True,,False
0.81,45,False,0.01,0.01,,4.342567000014242,4.342567000014242,0.0,waveform,0,,SPINE+1NN,10,45,500,4500,0.99,467606853,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[2, 0], [3, 0], [2, 0]], ""betti_frozen"": [[2, 0], [3, 0], [2, 0]], ""betti_nerve"": [[1, 0], [1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 1, ""invariant_held"": true, ""n_segments"": 38, ""n_train_fit"": 3375, ""n_val"": 1125, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1142, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1324, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 128}, {""k"": 1, ""n"": 268}, {""k"": 1, ""n"": 258}, {""k"": 1, ""n"": 261}, {""k"": 1, ""n"": 241}, {""k"": 1, ""n"": 205}, {""k"": 1, ""n"": 77}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1116, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1243, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 180}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 200}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 180}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1117, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1282, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 111}, {""k"": 1, ""n"": 259}, {""k"": 1, ""n"": 252}, {""k"": 1, ""n"": 253}, {""k"": 1, ""n"": 278}, {""k"": 1, ""n"": 208}, {""k"": 1, ""n"": 37}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 7, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.814,45,False,0.01,0.01,,4.342567000014242,4.342567000014242,0.0,waveform,0,,SPINE+Graph,10,45,500,4500,0.99,467606853,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[2, 0], [3, 0], [2, 0]], ""betti_frozen"": [[2, 0], [3, 0], [2, 0]], ""betti_nerve"": [[1, 0], [1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 1, ""invariant_held"": true, ""n_segments"": 38, ""n_train_fit"": 3375, ""n_val"": 1125, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1142, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1324, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 128}, {""k"": 1, ""n"": 268}, {""k"": 1, ""n"": 258}, {""k"": 1, ""n"": 261}, {""k"": 1, ""n"": 241}, {""k"": 1, ""n"": 205}, {""k"": 1, ""n"": 77}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1116, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1243, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 180}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 200}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 180}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1117, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1282, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 111}, {""k"": 1, ""n"": 259}, {""k"": 1, ""n"": 252}, {""k"": 1, ""n"": 253}, {""k"": 1, ""n"": 278}, {""k"": 1, ""n"": 208}, {""k"": 1, ""n"": 37}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 7, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.828,45,False,0.01,0.01,,2.361996999999974,45.199809000012465,42.83781200001249,waveform,0,"{""epsilon"": 0.3, ""window"": 0.3}",LVQ3,10,45,500,4500,0.99,467606853,False,,True
0.794,45,False,0.01,0.01,"{""0"": 15, ""1"": 15, ""2"": 15}",1.0703210000065155,1.0703210000065155,0.0,waveform,0,,KMeans,10,45,500,4500,0.99,467606853,False,,True
0.668,45,False,0.01,0.01,"{""0"": 15, ""1"": 15, ""2"": 15}",0.0005830000154674053,0.0005830000154674053,0.0,waveform,0,,Random,10,45,500,4500,0.99,467606853,False,,True
0.694,45,False,0.01,0.01,,1.2815280000213534,1.2815280000213534,0.0,waveform,0,,SPOT,10,45,500,4500,0.99,467606853,False,,True
0.824,45,False,0.01,0.01,,6.816992999985814,6.816992999985814,0.0,waveform,0,,GLVQ,10,45,500,4500,0.99,467606853,False,,True
0.756,45,False,0.01,0.01,,1.3218549999874085,1.3218549999874085,0.0,waveform,0,,GNG,10,45,500,4500,0.99,467606853,False,,True
0.704,90,False,0.02,0.02,,0.00021199998445808887,0.00021199998445808887,0.0,waveform,0,,Full,10,4500,500,4500,0.0,467606853,True,,False
0.77,90,False,0.02,0.02,,1.599910999997519,1.599910999997519,0.0,waveform,0,,RSP3,10,2611,500,4500,0.4197777777777778,467606853,True,,False
0.714,90,False,0.02,0.02,,1.6041660000337288,1.6041660000337288,0.0,waveform,0,,RHC,10,359,500,4500,0.9202222222222223,467606853,True,,False
