dataset,fold,cls,n_class,n_intervals,min_cluster_size,placement,n_vertices,n_edges,degenerate,noise_reassigned
banana,0,0,1974,7,17,quantile,12,10,False,253
banana,0,1,1604,7,17,uniform,8,6,False,457
banana,1,0,1974,7,17,quantile,12,10,False,173
banana,1,1,1604,7,17,uniform,8,6,False,382
banana,2,0,1974,7,17,quantile,12,10,False,172
banana,2,1,1604,7,17,uniform,7,6,False,470
banana,3,0,1974,7,17,quantile,12,10,False,150
banana,3,1,1604,7,17,uniform,8,6,False,341
banana,4,0,1974,7,17,quantile,12,10,False,311
banana,4,1,1604,7,17,uniform,7,6,False,534
banana,5,0,1974,7,17,quantile,12,10,False,161
banana,5,1,1604,7,17,uniform,8,6,False,363
banana,6,0,1974,7,17,quantile,12,10,False,199
banana,6,1,1604,7,17,uniform,8,6,False,311
banana,7,0,1974,7,17,quantile,11,9,False,140
banana,7,1,1604,7,17,uniform,8,6,False,572
banana,8,0,1974,7,17,quantile,11,9,False,147
banana,8,1,1604,7,17,uniform,7,6,False,583
banana,9,0,1974,7,17,uniform,10,10,False,511
banana,9,1,1604,7,17,uniform,8,6,False,398
eeg-eye-state,0,0,5574,9,50,quantile,9,8,False,5252
eeg-eye-state,0,1,4538,9,50,quantile,9,8,False,4233
eeg-eye-state,1,0,5574,9,50,quantile,9,8,False,5022
eeg-eye-state,1,1,4538,9,50,quantile,9,8,False,4182
eeg-eye-state,2,0,5574,9,50,quantile,9,8,False,4402
eeg-eye-state,2,1,4538,9,50,quantile,9,8,False,4290
eeg-eye-state,3,0,5574,9,50,quantile,9,8,False,6349
eeg-eye-state,3,1,4538,9,50,quantile,9,8,False,4453
eeg-eye-state,4,0,5574,9,50,quantile,9,8,False,5067
eeg-eye-state,4,1,4538,9,50,quantile,9,8,False,4222
eeg-eye-state,5,0,5574,9,50,quantile,9,8,False,4648
eeg-eye-state,5,1,4538,9,50,quantile,9,8,False,3912
eeg-eye-state,6,0,5574,9,50,quantile,9,8,False,5425
eeg-eye-state,6,1,4538,9,50,quantile,9,8,False,4524
eeg-eye-state,7,0,5574,9,50,quantile,9,8,False,4870
eeg-eye-state,7,1,4538,9,50,quantile,9,8,False,4734
eeg-eye-state,8,0,5574,9,50,quantile,9,8,False,4738
eeg-eye-state,8,1,4538,9,50,quantile,9,8,False,4383
eeg-eye-state,9,0,5574,9,50,quantile,10,9,False,4986
eeg-eye-state,9,1,4538,9,50,quantile,9,8,False,4588
ionosphere,0,0,85,4,15,quantile,4,3,False,40
ionosphere,0,1,151,5,15,quantile,5,4,False,86
ionosphere,1,0,86,4,15,quantile,4,3,False,42
ionosphere,1,1,151,5,15,quantile,5,4,False,96
ionosphere,2,0,86,4,15,quantile,4,3,False,42
ionosphere,2,1,151,5,15,quantile,5,4,False,104
ionosphere,3,0,86,4,15,quantile,4,3,False,42
ionosphere,3,1,151,5,15,quantile,5,4,False,95
ionosphere,4,0,86,4,15,quantile,4,3,False,42
ionosphere,4,1,151,5,15,quantile,5,4,False,99
ionosphere,5,0,85,4,15,quantile,4,3,False,40
ionosphere,5,1,152,5,15,quantile,5,4,False,103
ionosphere,6,0,85,4,15,quantile,4,3,False,40
ionosphere,6,1,152,5,15,quantile,5,4,False,107
ionosphere,7,0,85,4,15,quantile,4,3,False,40
ionosphere,7,1,152,5,15,quantile,5,4,False,107
ionosphere,8,0,85,4,15,quantile,4,3,False,41
ionosphere,8,1,152,5,15,quantile,5,4,False,100
ionosphere,9,0,85,4,15,quantile,4,3,False,40
ionosphere,9,1,152,5,15,quantile,5,4,False,106
letter,0,0,533,6,67,quantile,6,5,False,171
letter,0,1,517,6,67,quantile,6,5,False,184
letter,0,2,497,6,67,quantile,6,5,False,106
letter,0,3,543,6,67,quantile,6,5,False,185
letter,0,4,517,6,67,quantile,6,5,False,100
letter,0,5,523,6,67,quantile,6,5,False,139
letter,0,6,522,6,67,quantile,6,5,False,168
letter,0,7,495,6,67,quantile,6,5,False,146
letter,0,8,510,6,67,quantile,6,5,False,53
letter,0,9,504,6,67,quantile,6,5,False,114
letter,0,10,499,6,67,quantile,6,5,False,116
letter,0,11,514,6,67,quantile,6,5,False,129
letter,0,12,535,6,67,quantile,6,5,False,142
letter,0,13,529,6,67,quantile,6,5,False,195
letter,0,14,507,6,67,quantile,6,5,False,200
letter,0,15,542,6,67,quantile,6,5,False,147
letter,0,16,529,6,67,quantile,6,5,False,138
letter,0,17,511,6,67,quantile,6,5,False,106
letter,0,18,505,6,67,quantile,6,5,False,115
letter,0,19,536,6,67,quantile,6,5,False,100
letter,0,20,549,6,67,quantile,6,5,False,157
letter,0,21,516,6,67,quantile,6,5,False,131
letter,0,22,508,6,67,quantile,6,5,False,108
letter,0,23,531,6,67,quantile,6,5,False,139
letter,0,24,530,6,67,quantile,6,5,False,147
letter,0,25,496,6,67,quantile,6,5,False,133
letter,1,0,532,6,67,quantile,6,5,False,164
letter,1,1,517,6,67,quantile,6,5,False,176
letter,1,2,496,6,67,quantile,6,5,False,94
letter,1,3,544,6,67,quantile,6,5,False,156
letter,1,4,518,6,67,quantile,6,5,False,112
letter,1,5,523,6,67,quantile,6,5,False,135
letter,1,6,522,6,67,quantile,6,5,False,146
letter,1,7,495,6,67,quantile,6,5,False,155
letter,1,8,509,6,67,quantile,6,5,False,80
letter,1,9,505,6,67,quantile,6,5,False,132
letter,1,10,499,6,67,quantile,6,5,False,132
letter,1,11,514,6,67,quantile,6,5,False,128
letter,1,12,535,6,67,quantile,6,5,False,150
letter,1,13,529,6,67,quantile,6,5,False,182
letter,1,14,508,6,67,quantile,6,5,False,204
letter,1,15,542,6,67,quantile,6,5,False,226
letter,1,16,529,6,67,quantile,6,5,False,150
letter,1,17,511,6,67,quantile,6,5,False,101
letter,1,18,505,6,67,quantile,6,5,False,168
letter,1,19,537,6,67,quantile,6,5,False,113
letter,1,20,549,6,67,quantile,6,5,False,145
letter,1,21,516,6,67,quantile,6,5,False,102
letter,1,22,507,6,67,quantile,6,5,False,112
letter,1,23,531,6,67,quantile,6,5,False,133
letter,1,24,531,6,67,quantile,6,5,False,200
letter,1,25,496,6,67,quantile,6,5,False,134
letter,2,0,532,6,67,quantile,6,5,False,203
letter,2,1,517,6,67,quantile,6,5,False,211
letter,2,2,497,6,67,quantile,6,5,False,153
letter,2,3,543,6,67,quantile,6,5,False,178
letter,2,4,519,6,67,quantile,6,5,False,104
letter,2,5,523,6,67,quantile,6,5,False,120
letter,2,6,521,6,67,quantile,6,5,False,177
letter,2,7,496,6,67,quantile,6,5,False,160
letter,2,8,509,6,67,quantile,6,5,False,139
letter,2,9,505,6,67,quantile,6,5,False,122
letter,2,10,499,6,67,quantile,6,5,False,125
letter,2,11,514,6,67,quantile,6,5,False,106
letter,2,12,535,6,67,quantile,6,5,False,167
letter,2,13,529,6,67,quantile,6,5,False,182
letter,2,14,508,6,67,quantile,6,5,False,207
letter,2,15,541,6,67,quantile,6,5,False,163
letter,2,16,529,6,67,quantile,6,5,False,155
letter,2,17,510,6,67,quantile,6,5,False,79
letter,2,18,506,6,67,quantile,6,5,False,126
letter,2,19,538,6,67,quantile,6,5,False,120
letter,2,20,549,6,67,quantile,6,5,False,169
