dataset,SPINE+1NN,SPINE+Graph,delta
banana,0.9032075471698114,0.9032075471698114,0.0
eeg-eye-state,0.8630841121495327,0.8657543391188252,0.002670226969292422
ionosphere,0.8716666666666667,0.8859523809523809,0.014285714285714235
letter,0.9513514661332352,0.9555496238471581,0.0041981577139229564
magic,0.8421135646687696,0.8446372239747634,0.0025236593059937418
penbased,0.983807410734362,0.9840808014264223,0.00027339069206033795
phoneme,0.8850756486616007,0.8909933593482577,0.0059177106866570295
ring,0.8254054054054054,0.8574324324324325,0.03202702702702709
satimage,0.904272430106657,0.9038068338418814,-0.0004655962647756029
segment,0.9454545454545455,0.9454545454545455,0.0
sonar,0.9033333333333333,0.893095238095238,-0.010238095238095268
spambase,0.9123382589750875,0.9142962015724164,0.0019579425973289544
texture,0.9778181818181819,0.9785454545454545,0.0007272727272725765
twonorm,0.9759459459459459,0.9758108108108108,-0.00013513513513507824
waveform,0.7846,0.781,-0.0035999999999999366
wdbc,0.9507205513784461,0.9524749373433584,0.0017543859649122862
wine,0.9552287581699346,0.9552287581699346,0.0
