dataset,SPINE+Graph,RSP3,KMeans,Random,LVQ3,SPOT,GLVQ,GNG
banana,0.9032075471698114,0.8454716981132077,0.8490566037735849,0.8711320754716981,0.8807547169811322,0.8684905660377359,0.868679245283019,0.8569811320754717
eeg-eye-state,0.8657543391188252,0.838785046728972,0.8479305740987984,0.828437917222964,0.85086782376502,0.8355140186915888,0.7590120160213618,0.8518024032042725
ionosphere,0.8859523809523809,0.8832539682539682,0.8061904761904761,0.8319047619047619,0.871904761904762,0.8888095238095237,0.8661111111111112,0.8634920634920634
letter,0.9555496238471581,0.9506517677336201,0.9538003207494224,0.9196515285910424,0.9483019403406086,0.9439526050372269,0.7894477399954231,0.9559013780321489
magic,0.8446372239747634,0.7909043112513144,0.8100946372239747,0.8054679284963197,0.829179810725552,0.8115141955835963,0.8048370136698212,0.8172450052576237
penbased,0.9840808014264223,0.9909023783786661,0.9911753538108773,0.9783508753248146,0.9921757684663822,0.99008411399133,0.940412373756098,0.9918122148225738
phoneme,0.8909933593482577,0.8704624495105087,0.8793465461764907,0.8493698226877525,0.8834148011227494,0.8608386390086945,0.7993992606284658,0.8876668720476484
ring,0.8574324324324325,0.814054054054054,0.7335135135135136,0.7233783783783784,0.7878378378378379,0.827972972972973,0.7541891891891892,0.8398648648648649
satimage,0.9038068338418814,0.9028712876814018,0.8988245941282992,0.8854662130103496,0.9109513829349645,0.8874875059744877,0.8483297622575965,0.9050478624055822
segment,0.9454545454545455,0.961038961038961,0.945021645021645,0.9142857142857144,0.9515151515151515,0.9385281385281387,0.8865800865800866,0.945021645021645
sonar,0.893095238095238,0.8745238095238095,0.8790476190476191,0.8316666666666667,0.8842857142857143,0.8557142857142856,0.6930952380952381,0.8978571428571428
spambase,0.9142962015724164,0.8884100596760444,0.9040712323576774,0.8762304631997727,0.9125561238988349,0.8803642133181775,0.8997205645543241,0.5832045088566827
texture,0.9785454545454545,0.9829090909090908,0.9823636363636364,0.9621818181818181,0.981090909090909,0.976909090909091,0.9179999999999999,0.9838181818181818
twonorm,0.9758108108108108,0.9251351351351351,0.9587837837837837,0.9378378378378379,0.9633783783783784,0.9506756756756758,0.9777027027027027,0.962972972972973
waveform,0.781,0.7584,0.7382,0.705,0.7608,0.712,0.8141999999999999,0.7506
wdbc,0.9524749373433584,0.938408521303258,0.9577694235588974,0.9366228070175439,0.9665726817042607,0.9577694235588974,0.931359649122807,0.9665726817042607
wine,0.9552287581699346,0.938562091503268,0.9552287581699346,0.9493464052287581,0.949673202614379,0.949673202614379,0.9715686274509803,0.9555555555555555
