dataset,Full,GLVQ,GNG,KMeans,LVQ3,RHC,RSP3,Random,SPINE+1NN,SPINE+Graph,SPOT
banana,4770.0,1177.4,1177.4,1177.4,1177.4,975.5,1177.4,1177.4,1177.4,1177.4,1177.4
eeg-eye-state,13482.0,6369.3,6369.3,6369.3,6369.3,3051.4,6369.3,6369.3,6369.3,6369.3,6369.3
ionosphere,315.9,99.1,99.1,99.1,99.1,33.0,99.1,99.1,99.1,99.1,99.1
letter,18000.0,6816.3,6816.3,6816.3,6816.3,2213.1,6816.3,6816.3,6816.3,6816.3,6816.3
magic,17118.0,7213.5,7213.5,7213.5,7213.5,3435.8,7213.5,7213.5,7213.5,7213.5,7213.5
penbased,9892.8,1051.9,1051.9,1051.9,1051.9,326.5,1051.9,1051.9,1051.9,1051.9,1051.9
phoneme,4863.6,1423.3,1423.3,1423.3,1423.3,918.5,1423.3,1423.3,1423.3,1423.3,1423.3
ring,6660.0,2915.0,2915.0,2915.0,2915.0,644.4,2915.0,2915.0,2915.0,2915.0,2915.0
satimage,5791.5,1548.5,1548.5,1548.5,1548.5,570.9,1548.5,1548.5,1548.5,1548.5,1548.5
segment,2079.0,396.1,396.1,396.1,396.1,179.8,396.1,396.1,396.1,396.1,396.1
sonar,187.2,89.1,89.1,89.1,89.1,21.6,89.1,89.1,89.1,89.1,89.1
spambase,4137.3,1227.4,1227.4,1227.4,1227.4,450.0,1227.4,1227.4,1227.4,1227.4,1227.4
texture,4950.0,865.5,865.5,865.5,865.5,269.0,865.5,865.5,865.5,865.5,865.5
twonorm,6660.0,1006.0,1006.0,1006.0,1006.0,218.0,1006.0,1006.0,1006.0,1006.0,1006.0
waveform,4500.0,2600.4,2600.4,2600.4,2600.4,374.5,2600.4,2600.4,2600.4,2600.4,2600.4
wdbc,512.1,92.9,92.9,92.9,92.9,35.8,92.9,92.9,92.9,92.9,92.9
wine,160.2,39.5,39.5,39.5,39.5,8.1,39.5,39.5,39.5,39.5,39.5
