dataset,Full,GLVQ,GNG,KMeans,LVQ3,RHC,RSP3,Random,SPINE+1NN,SPINE+Graph,SPOT
banana,0.0,0.7531656184486373,0.7531656184486373,0.7531656184486373,0.7531656184486373,0.7954926624737946,0.7531656184486373,0.7531656184486373,0.7531656184486373,0.7531656184486373,0.7531656184486373
eeg-eye-state,0.0,0.5275700934579439,0.5275700934579439,0.5275700934579439,0.5275700934579439,0.7736685951639222,0.5275700934579439,0.5275700934579439,0.5275700934579439,0.5275700934579439,0.5275700934579439
ionosphere,0.0,0.6863019891500904,0.6863019891500904,0.6863019891500904,0.6863019891500904,0.8955354631303999,0.6863019891500904,0.6863019891500904,0.6863019891500904,0.6863019891500904,0.6863019891500904
letter,0.0,0.6213166383747442,0.6213166383747442,0.6213166383747442,0.6213166383747442,0.8770498004317702,0.6213166383747442,0.6213166383747442,0.6213166383747442,0.6213166383747442,0.6213166383747442
magic,0.0,0.5786014721345951,0.5786014721345951,0.5786014721345951,0.5786014721345951,0.7992872999182148,0.5786014721345951,0.5786014721345951,0.5786014721345951,0.5786014721345951,0.5786014721345951
penbased,0.0,0.8936700000741519,0.8936700000741519,0.8936700000741519,0.8936700000741519,0.9669962426563575,0.8936700000741519,0.8936700000741519,0.8936700000741519,0.8936700000741519,0.8936700000741519
phoneme,0.0,0.7073568109962987,0.7073568109962987,0.7073568109962987,0.7073568109962987,0.8111480215807874,0.7073568109962987,0.7073568109962987,0.7073568109962987,0.7073568109962987,0.7073568109962987
ring,0.0,0.5623123123123123,0.5623123123123123,0.5623123123123123,0.5623123123123123,0.9032432432432433,0.5623123123123123,0.5623123123123123,0.5623123123123123,0.5623123123123123,0.5623123123123123
satimage,0.0,0.7326251587115585,0.7326251587115585,0.7326251587115585,0.7326251587115585,0.9014243912938837,0.7326251587115585,0.7326251587115585,0.7326251587115585,0.7326251587115585,0.7326251587115585
segment,0.0,0.8094757094757095,0.8094757094757095,0.8094757094757095,0.8094757094757095,0.9135161135161136,0.8094757094757095,0.8094757094757095,0.8094757094757095,0.8094757094757095,0.8094757094757095
sonar,0.0,0.5241068380930709,0.5241068380930709,0.5241068380930709,0.5241068380930709,0.8846142905905108,0.5241068380930709,0.5241068380930709,0.5241068380930709,0.5241068380930709,0.5241068380930709
spambase,0.0,0.7033338053261113,0.7033338053261113,0.7033338053261113,0.7033338053261113,0.8912335110666534,0.7033338053261113,0.7033338053261113,0.7033338053261113,0.7033338053261113,0.7033338053261113
texture,0.0,0.8251515151515152,0.8251515151515152,0.8251515151515152,0.8251515151515152,0.9456565656565656,0.8251515151515152,0.8251515151515152,0.8251515151515152,0.8251515151515152,0.8251515151515152
twonorm,0.0,0.848948948948949,0.848948948948949,0.848948948948949,0.848948948948949,0.9672672672672673,0.848948948948949,0.848948948948949,0.848948948948949,0.848948948948949,0.848948948948949
waveform,0.0,0.4221333333333333,0.4221333333333333,0.4221333333333333,0.4221333333333333,0.9167777777777779,0.4221333333333333,0.4221333333333333,0.4221333333333333,0.4221333333333333,0.4221333333333333
wdbc,0.0,0.818589333576998,0.818589333576998,0.818589333576998,0.818589333576998,0.9300903082358675,0.818589333576998,0.818589333576998,0.818589333576998,0.818589333576998,0.818589333576998
wine,0.0,0.7534083850931677,0.7534083850931677,0.7534083850931677,0.7534083850931677,0.9494448757763975,0.7534083850931677,0.7534083850931677,0.7534083850931677,0.7534083850931677,0.7534083850931677
