acc_1nn,class_counts,cpu_select,cpu_total,cpu_tuning,dataset,fold,lvq3_params,method,n_outer_folds,n_proto,n_test,n_train,reduction,seed,spine_params
0.718,,0.00022700000045006163,0.00022700000045006163,0.0,waveform,9,,Full,10,4500,500,4500,0.0,476606880,
0.768,,0.4654449999998178,0.4654449999998178,0.0,waveform,9,,RSP3,10,2595,500,4500,0.42333333333333334,476606880,
0.802,,301.9123290000007,301.9123290000007,0.0,waveform,9,,SPINE+1NN,10,2595,500,4500,0.42333333333333334,476606880,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 2, ""removed_support"": 0}, ""betti_final"": [[1, 0], [2, 0], [2, 0]], ""betti_frozen"": [[1, 0], [2, 0], [2, 0]], ""betti_nerve"": [[1, 0], [1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 2797, ""invariant_held"": true, ""n_segments"": 2590, ""n_train_fit"": 3375, ""n_val"": 1125, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1142, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1317, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 129}, {""k"": 1, ""n"": 252}, {""k"": 1, ""n"": 245}, {""k"": 1, ""n"": 257}, {""k"": 1, ""n"": 235}, {""k"": 1, ""n"": 225}, {""k"": 1, ""n"": 87}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1115, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1242, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 180}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 180}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1118, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1297, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 97}, {""k"": 1, ""n"": 258}, {""k"": 1, ""n"": 266}, {""k"": 1, ""n"": 269}, {""k"": 1, ""n"": 279}, {""k"": 1, ""n"": 208}, {""k"": 1, ""n"": 34}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 5, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}"
0.792,,301.9123290000007,301.9123290000007,0.0,waveform,9,,SPINE+Graph,10,2595,500,4500,0.42333333333333334,476606880,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 2, ""removed_support"": 0}, ""betti_final"": [[1, 0], [2, 0], [2, 0]], ""betti_frozen"": [[1, 0], [2, 0], [2, 0]], ""betti_nerve"": [[1, 0], [1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 2797, ""invariant_held"": true, ""n_segments"": 2590, ""n_train_fit"": 3375, ""n_val"": 1125, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1142, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1317, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 129}, {""k"": 1, ""n"": 252}, {""k"": 1, ""n"": 245}, {""k"": 1, ""n"": 257}, {""k"": 1, ""n"": 235}, {""k"": 1, ""n"": 225}, {""k"": 1, ""n"": 87}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1115, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1242, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 180}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 199}, {""k"": 1, ""n"": 180}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 16, ""min_samples"": 5, ""n_class"": 1118, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 7, ""noise_reassigned"": 1297, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 97}, {""k"": 1, ""n"": 258}, {""k"": 1, ""n"": 266}, {""k"": 1, ""n"": 269}, {""k"": 1, ""n"": 279}, {""k"": 1, ""n"": 208}, {""k"": 1, ""n"": 34}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 5, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}"
0.766,,0.26796199999989767,0.26796199999989767,0.0,waveform,9,,RHC,10,380,500,4500,0.9155555555555556,476606880,
0.74,"{""0"": 878, ""1"": 858, ""2"": 859}",5.570777000000817,5.570777000000817,0.0,waveform,9,,KMeans,10,2595,500,4500,0.42333333333333334,476606880,
0.684,"{""0"": 878, ""1"": 858, ""2"": 859}",0.003711999999723048,0.003711999999723048,0.0,waveform,9,,Random,10,2595,500,4500,0.42333333333333334,476606880,
0.776,,34.08096100000148,729.9945160000007,695.9135549999992,waveform,9,"{""epsilon"": 0.1, ""window"": 0.3}",LVQ3,10,2595,500,4500,0.42333333333333334,476606880,
0.694,,0.8220799999999144,0.8220799999999144,0.0,waveform,9,,SPOT,10,2595,500,4500,0.42333333333333334,476606880,
0.816,,325.8140719999992,325.8140719999992,0.0,waveform,9,,GLVQ,10,2595,500,4500,0.42333333333333334,476606880,
