acc_1nn,class_counts,cpu_select,cpu_total,cpu_tuning,dataset,fold,lvq3_params,method,n_outer_folds,n_proto,n_test,n_train,reduction,seed,spine_params
0.9444444444444444,,9.999999747378752e-06,9.999999747378752e-06,0.0,wine,7,,Full,10,160,18,160,0.0,347399868,
0.9444444444444444,,0.00335099999938393,0.00335099999938393,0.0,wine,7,,RSP3,10,38,18,160,0.7625,347399868,
0.9444444444444444,,0.11241300000074261,0.11241300000074261,0.0,wine,7,,SPINE+1NN,10,38,18,160,0.7625,347399868,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 0, ""removed_support"": 0}, ""betti_final"": [[1, 0], [1, 0], [1, 0]], ""betti_frozen"": [[1, 0], [1, 0], [1, 0]], ""betti_nerve"": [[1, 0], [1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 41, ""invariant_held"": true, ""n_segments"": 35, ""n_train_fit"": 120, ""n_val"": 40, ""phase0"": [{""constant_lens"": false, ""degenerate"": ""no_slab_reached_min_cluster_size"", ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 40, ""n_intervals"": 4, ""noise_reassigned"": 0, ""placement"": ""quantile"", ""slabs"": [{""k"": 0, ""n"": 11}, {""k"": 0, ""n"": 12}, {""k"": 0, ""n"": 12}, {""k"": 0, ""n"": 11}]}, {""constant_lens"": false, ""degenerate"": ""no_slab_reached_min_cluster_size"", ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 48, ""n_intervals"": 4, ""noise_reassigned"": 0, ""placement"": ""quantile"", ""slabs"": [{""k"": 0, ""n"": 14}, {""k"": 0, ""n"": 14}, {""k"": 0, ""n"": 14}, {""k"": 0, ""n"": 14}]}, {""constant_lens"": false, ""degenerate"": ""no_slab_reached_min_cluster_size"", ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 32, ""n_intervals"": 4, ""noise_reassigned"": 0, ""placement"": ""quantile"", ""slabs"": [{""k"": 0, ""n"": 9}, {""k"": 0, ""n"": 10}, {""k"": 0, ""n"": 10}, {""k"": 0, ""n"": 9}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 3, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}"
0.9444444444444444,,0.11241300000074261,0.11241300000074261,0.0,wine,7,,SPINE+Graph,10,38,18,160,0.7625,347399868,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 0, ""removed_support"": 0}, ""betti_final"": [[1, 0], [1, 0], [1, 0]], ""betti_frozen"": [[1, 0], [1, 0], [1, 0]], ""betti_nerve"": [[1, 0], [1, 0], [1, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 41, ""invariant_held"": true, ""n_segments"": 35, ""n_train_fit"": 120, ""n_val"": 40, ""phase0"": [{""constant_lens"": false, ""degenerate"": ""no_slab_reached_min_cluster_size"", ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 40, ""n_intervals"": 4, ""noise_reassigned"": 0, ""placement"": ""quantile"", ""slabs"": [{""k"": 0, ""n"": 11}, {""k"": 0, ""n"": 12}, {""k"": 0, ""n"": 12}, {""k"": 0, ""n"": 11}]}, {""constant_lens"": false, ""degenerate"": ""no_slab_reached_min_cluster_size"", ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 48, ""n_intervals"": 4, ""noise_reassigned"": 0, ""placement"": ""quantile"", ""slabs"": [{""k"": 0, ""n"": 14}, {""k"": 0, ""n"": 14}, {""k"": 0, ""n"": 14}, {""k"": 0, ""n"": 14}]}, {""constant_lens"": false, ""degenerate"": ""no_slab_reached_min_cluster_size"", ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 15, ""min_samples"": 5, ""n_class"": 32, ""n_intervals"": 4, ""noise_reassigned"": 0, ""placement"": ""quantile"", ""slabs"": [{""k"": 0, ""n"": 9}, {""k"": 0, ""n"": 10}, {""k"": 0, ""n"": 10}, {""k"": 0, ""n"": 9}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 3, ""beta0_nerve"": 3, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}"
0.9444444444444444,,0.0020039999999426072,0.0020039999999426072,0.0,wine,7,,RHC,10,7,18,160,0.95625,347399868,
0.9444444444444444,"{""0"": 13, ""1"": 15, ""2"": 10}",0.019785000000410946,0.019785000000410946,0.0,wine,7,,KMeans,10,38,18,160,0.7625,347399868,
0.9444444444444444,"{""0"": 13, ""1"": 15, ""2"": 10}",6.300000131886918e-05,6.300000131886918e-05,0.0,wine,7,,Random,10,38,18,160,0.7625,347399868,
1.0,,0.04039999999986321,0.737978999999541,0.6975789999996778,wine,7,"{""epsilon"": 0.1, ""window"": 0.2}",LVQ3,10,38,18,160,0.7625,347399868,
0.9444444444444444,,0.00887200000033772,0.00887200000033772,0.0,wine,7,,SPOT,10,38,18,160,0.7625,347399868,
1.0,,0.22597700000005716,0.22597700000005716,0.0,wine,7,,GLVQ,10,38,18,160,0.7625,347399868,
